distance_kms,trip_time_minutes,total_time_minutes,speed_kmh,trip_type_uberblack,trip_type_uberx,surge_multiplier,trip_type_uberelka,trip_start_time_year,weather_partly_cloudy_night,trip_start_time_hour,temperature_time_hour,feels_like,cloudness,temp_hour_interaction,temperature_value,rub_usd_exchange_rate,temperature_time_month,trip_start_time_month,dropoff_long,pickup_long,vehicle_make,vehicle_model,weather_desc,ride_hailing_app_Uber,trip_type_Comfort,trip_type_EconomyFix,trip_type_uberBEAUTY,trip_type_uberBLACK,trip_type_uberELKA,trip_type_uberSELECT,trip_type_uberX,city_Moscow,city_Saint Petersburg,weather_main_clear-night,weather_main_cloudy,weather_main_fog,weather_main_partly-cloudy-day,weather_main_partly-cloudy-night,weather_main_rain,weather_main_snow,weather_main_wind,precipitation_rain,precipitation_snow,trip_start_time_timeofday_evening,trip_start_time_timeofday_morning,trip_start_time_timeofday_night,temperature_time_timeofday_evening,temperature_time_timeofday_morning,temperature_time_timeofday_night
9.29,21.55,29.0,19.22068965517241,0,1,1.0,0,2015,0,17,17,12.0,0.78,204.0,12.0,55.17,5,5,30.30765496,30.32982593,0.06932153392330384,0.051622418879056046,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
9.93,19.45,26.0,22.915384615384614,0,1,1.0,0,2015,0,18,18,10.0,0.66,180.0,10.0,55.17,5,5,30.32949527,30.30731265,0.17404129793510326,0.15339233038348082,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
18.01,46.43333333333333,57.0,13.019277108433736,0,1,1.0,0,2015,0,9,9,14.0,0.86,126.0,14.0,55.17,5,5,30.3875608,30.329416,0.084070796460177,0.4616519174041298,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
5.1,13.616666666666667,20.0,15.299999999999999,0,0,1.0,0,2015,1,7,7,3.0,0.56,0.0,3.0,55.17,5,5,30.30848929,30.31115921,0.02654867256637168,0.4616519174041298,0.1902654867256637,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
21.92,38.9,49.0,26.840816326530614,0,1,1.0,0,2015,1,7,7,1.0,0.31,3.0,3.0,55.17,5,5,30.3294021,30.3085533,0.17404129793510326,0.15339233038348082,0.1902654867256637,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
4.88,16.633333333333333,34.0,8.611764705882353,0,1,1.0,0,2015,0,9,9,5.0,0.99,63.0,7.0,55.17,5,5,30.3881466,30.3217733,0.17404129793510326,0.15339233038348082,0.25073746312684364,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
18.65,40.4,44.0,25.431818181818183,0,1,1.0,0,2015,0,21,21,3.0,0.98,126.0,6.0,55.17,5,5,30.3295176,30.3878286,0.11651917404129794,0.08997050147492626,0.25073746312684364,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
12.62,41.93333333333333,57.0,13.055172413793102,0,1,1.0,0,2015,0,7,7,4.0,0.89,42.0,6.0,55.17,5,5,30.3590764,30.3302478,0.17404129793510326,0.15339233038348082,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
5.94,10.1,15.0,23.76,0,1,1.0,0,2015,0,11,11,5.0,0.84,88.0,8.0,55.17,5,5,30.38865583,30.35607923,0.17404129793510326,0.4616519174041298,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
17.38,25.5,33.0,31.599999999999994,0,1,1.0,0,2015,0,21,21,9.0,0.69,189.0,9.0,55.17,5,5,30.32949259,30.38816641,0.11651917404129794,0.4616519174041298,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5.66,17.783333333333335,26.0,13.061538461538461,0,1,1.0,0,2015,0,9,9,14.0,0.75,126.0,14.0,55.17,5,5,30.3887749,30.3211337,0.17404129793510326,0.15339233038348082,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
14.3,14.466666666666667,27.0,31.77777777777778,0,1,1.0,0,2015,0,13,13,32.0,0.0,342.0,32.0,55.17,5,5,37.635031,37.6350862,0.17404129793510326,0.15339233038348082,0.10176991150442478,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
