price_usd,price_rub_log,distance_kms,trip_time_minutes,total_time_minutes,speed_kmh,trip_type_uberblack,trip_type_uberx,surge_multiplier,trip_type_uberelka,price_per_km,trip_start_time_year,temperature_time_year,weather_partly_cloudy_night,trip_start_time_hour,temperature_time_hour,feels_like,cloudness,temp_hour_interaction,temperature_value,rub_usd_exchange_rate,temperature_time_month,trip_start_time_month,dropoff_long,pickup_long,vehicle_make,vehicle_model,weather_desc,ride_hailing_app_Uber,trip_type_Comfort,trip_type_EconomyFix,trip_type_uberBEAUTY,trip_type_uberBLACK,trip_type_uberELKA,trip_type_uberSELECT,trip_type_uberX,city_Moscow,city_Saint Petersburg,weather_main_clear-night,weather_main_cloudy,weather_main_fog,weather_main_partly-cloudy-day,weather_main_partly-cloudy-night,weather_main_rain,weather_main_snow,weather_main_wind,precipitation_rain,precipitation_snow,trip_start_time_timeofday_evening,trip_start_time_timeofday_morning,trip_start_time_timeofday_night,temperature_time_timeofday_evening,temperature_time_timeofday_morning,temperature_time_timeofday_night
5.17,5.583496308781699,9.29,21.55,29.0,19.22068965517241,0,1,1.0,0,28.52529601722282,2015,2015,0,17,17,12.0,0.78,204.0,12.0,55.17,5,5,30.30765496,30.32982593,Ford,Focus,Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
4.97,5.545177444479562,9.93,19.45,26.0,22.915384615384614,0,1,1.0,0,25.6797583081571,2015,2015,0,18,18,10.0,0.66,180.0,10.0,55.17,5,5,30.32949527,30.30731265,Hyundai,Solaris,Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
12.97,6.4692503167957724,18.01,46.43333333333333,57.0,13.019277108433736,0,1,1.0,0,35.757912270960574,2015,2015,0,9,9,14.0,0.86,126.0,14.0,55.17,5,5,30.3875608,30.329416,Renault,other,Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
12.97,6.55250788703459,5.1,13.616666666666667,20.0,15.299999999999999,0,0,1.0,0,81.56596794081382,2015,2015,1,7,7,3.0,0.56,0.0,3.0,55.17,5,5,30.30848929,30.31115921,Mercedes-Benz,other,Partly Cloudy,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
12.97,6.501289670540389,21.92,38.9,49.0,26.840816326530614,0,1,1.0,0,30.33759124087591,2015,2015,1,7,7,1.0,0.31,3.0,3.0,55.17,5,5,30.3294021,30.3085533,Hyundai,Solaris,Partly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
4.06,5.303304908059076,4.88,16.633333333333333,34.0,8.611764705882353,0,1,1.0,0,40.98360655737705,2015,2015,0,9,9,5.0,0.99,63.0,7.0,55.17,5,5,30.3881466,30.3217733,Hyundai,Solaris,Overcast,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
9.4,6.139884552226255,18.65,40.4,44.0,25.431818181818183,0,1,1.0,0,24.82573726541555,2015,2015,0,21,21,3.0,0.98,126.0,6.0,55.17,5,5,30.3295176,30.3878286,Volkswagen,Polo,Overcast,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
8.7,6.068425588244111,12.62,41.93333333333333,57.0,13.055172413793102,0,1,1.0,0,34.152139461172744,2015,2015,0,7,7,4.0,0.89,42.0,6.0,55.17,5,5,30.3590764,30.3302478,Hyundai,Solaris,Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
3.27,5.093750200806762,5.94,10.1,15.0,23.76,0,1,1.0,0,27.27272727272727,2015,2015,0,11,11,5.0,0.84,88.0,8.0,55.17,5,5,30.38865583,30.35607923,Hyundai,other,Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
7.06,5.860786223465865,17.38,25.5,33.0,31.599999999999994,0,1,1.0,0,20.138089758342925,2015,2015,0,21,21,9.0,0.69,189.0,9.0,55.17,5,5,30.32949259,30.38816641,Volkswagen,other,Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
4.27,5.3706380281276624,5.66,17.783333333333335,26.0,13.061538461538461,0,1,1.0,0,37.80918727915194,2015,2015,0,9,9,14.0,0.75,126.0,14.0,55.17,5,5,30.3887749,30.3211337,Hyundai,Solaris,Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
7.66,5.993961427306569,14.3,14.466666666666667,27.0,31.77777777777778,0,1,1.0,0,27.97202797202797,2015,2015,0,13,13,32.0,0.0,342.0,32.0,55.17,5,5,37.635031,37.6350862,Hyundai,Solaris,Clear,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
7.48,5.993961427306569,13.33,15.316666666666666,28.0,28.564285714285713,0,1,1.0,0,30.00750187546887,2015,2015,1,21,21,19.0,0.75,342.0,19.0,55.17,6,6,37.635031,37.6350862,Ford,other,Mostly Cloudy,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
4.2,5.43372200355424,9.41,46.43333333333333,57.0,8.821875,0,1,1.0,0,24.22954303931987,2015,2015,0,14,14,31.0,0.75,342.0,29.0,55.17,6,6,37.635031,37.6350862,Ford,Focus,Mostly Cloudy,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1.72,4.6848128136402885,1.79,12.65,37.0,6.852631578947369,0,1,1.0,0,81.56596794081382,2015,2015,0,15,15,30.0,0.0,342.0,28.0,55.17,6,6,37.635031,37.6350862,Hyundai,Solaris,Clear,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2.21,4.8283137373023015,8.4,16.3,34.0,14.823529411764707,0,1,1.0,0,18.878504672897197,2015,2015,0,7,7,18.0,0.0,51.0,17.0,56.05,6,6,37.635031,37.6350862,Kia,Rio,Clear,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
1.72,4.6848128136402885,4.33,11.45,25.0,10.392,0,1,1.0,0,22.401847575057737,2015,2015,0,15,15,25.0,0.0,342.0,25.0,56.3,6,6,37.635031,37.6350862,Nissan,Almera,Clear,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2.03,4.74493212836325,4.75,16.65,30.0,9.5,0,1,1.0,0,24.0,2015,2015,0,13,13,21.0,1.0,273.0,21.0,56.3,6,6,37.635031,37.6350862,Kia,Rio,Overcast,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
7.11,5.993961427306569,14.61,16.466666666666665,27.0,32.46666666666666,0,1,1.0,0,27.378507871321013,2015,2015,0,20,20,11.0,1.0,220.0,11.0,56.28,6,6,37.635031,37.6350862,Hyundai,Solaris,Overcast,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
3.33,5.220355825078324,5.05,14.216666666666667,17.0,17.823529411764707,0,1,1.0,0,36.43564356435644,2015,2015,0,16,16,19.0,0.39,304.0,19.0,55.23,6,6,30.3032982,30.3390492,Hyundai,Solaris,Partly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
5.65,5.746203190540153,12.81,21.2,36.0,21.35,0,0,1.0,0,24.355971896955502,2015,2015,0,16,16,19.0,0.49,304.0,19.0,55.23,6,6,30.4340483,30.3105366,Chevrolet,Cruze,Partly Cloudy,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3.26,5.198497031265826,1.79,5.7,46.0,6.852631578947369,0,0,1.0,0,81.56596794081382,2015,2015,0,7,7,17.0,0.32,85.0,17.0,55.17,6,6,30.2742717,30.2808294,Mercedes-Benz,other,Partly Cloudy,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
10.39,6.352629396319567,29.08,45.666666666666664,54.0,32.31111111111111,0,1,1.0,0,19.70426409903714,2015,2015,0,9,9,20.0,0.58,180.0,20.0,55.17,6,6,30.4278911,30.3567147,Kia,other,Partly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
12.97,6.55250788703459,24.0,30.733333333333334,40.0,36.0,0,1,1.0,0,41.666666666666664,2015,2015,0,11,11,21.0,0.75,231.0,21.0,55.17,6,6,30.6349186,30.4094573,Mitsubishi,other,Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
12.97,6.55250788703459,19.1,25.3,30.0,38.2,0,1,1.0,0,52.35602094240837,2015,2015,0,19,19,16.0,0.75,304.0,16.0,55.17,6,6,30.274495,30.3379833,Nissan,Almera,Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
12.97,6.55250788703459,21.18,30.3,37.0,34.34594594594594,0,1,1.0,0,47.214353163361665,2015,2015,0,21,21,16.0,0.94,336.0,16.0,55.17,6,6,30.3392897,30.3380717,other,other,Overcast,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
6.4,5.869296913133774,2.27,9.55,19.0,7.1684210526315795,0,0,1.0,0,81.56596794081382,2015,2015,0,21,21,16.0,0.75,342.0,16.0,55.17,6,6,30.3456956,30.3382977,Mercedes-Benz,other,Mostly Cloudy,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
11.22,6.429719478039138,8.85,22.516666666666666,29.0,18.310344827586206,0,0,1.0,0,69.94350282485875,2015,2015,1,21,21,15.0,0.78,342.0,15.0,55.17,6,6,30.3379478,30.3458923,other,other,Mostly Cloudy,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
8.9,6.194405391104672,17.79,45.0,57.0,18.726315789473684,0,1,1.0,0,27.48735244519393,2015,2015,0,9,9,15.0,0.75,135.0,15.0,55.17,6,6,30.3358845,30.4078023,Mitsubishi,other,Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
12.97,6.55250788703459,21.22,46.43333333333333,57.0,14.468181818181819,0,1,1.0,0,70.6880301602262,2015,2015,0,8,8,16.0,0.62,128.0,16.0,55.17,6,6,30.33797633,30.2808294,Kia,Rio,Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
7.6,6.037870919922137,4.35,12.466666666666667,27.0,9.666666666666666,0,0,1.0,0,81.56596794081382,2015,2015,0,11,11,18.0,0.76,198.0,18.0,55.17,6,6,30.28558798,30.33806238,other,other,Mostly Cloudy,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
10.31,6.342121418721152,3.25,10.583333333333334,20.0,9.75,0,0,1.0,0,81.56596794081382,2015,2015,0,12,12,16.0,0.76,192.0,16.0,55.17,6,6,30.33025685,30.28569069,Mercedes-Benz,other,Mostly Cloudy,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1.8,4.6848128136402885,1.79,5.766666666666667,14.0,6.852631578947369,0,1,1.0,0,76.74418604651163,2015,2015,0,13,13,15.0,0.75,195.0,15.0,55.17,6,6,30.3245608,30.3300238,Nissan,Almera,Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
8.5,6.148468295917647,2.61,16.516666666666666,27.0,6.852631578947369,0,0,1.0,0,81.56596794081382,2015,2015,0,14,14,15.0,0.75,210.0,15.0,55.17,6,6,30.3381516,30.3569533,other,other,Mostly Cloudy,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3.15,5.159055299214529,1.79,8.85,22.0,6.852631578947369,0,1,1.0,0,81.56596794081382,2015,2015,0,18,18,13.0,0.62,234.0,13.0,55.17,6,6,30.3373816,30.3415916,Hyundai,Solaris,Breezy and Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
7.6,6.037870919922137,5.02,12.1,20.0,15.059999999999999,0,0,1.0,0,81.56596794081382,2015,2015,0,21,21,10.0,0.0,220.0,10.0,55.17,6,6,30.2846216,30.337745,Mercedes-Benz,other,Clear,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
3.65,5.2832037287379885,3.35,17.516666666666666,33.0,6.852631578947369,0,1,1.0,0,58.507462686567166,2015,2015,0,10,10,15.0,0.75,150.0,15.0,55.17,6,6,30.3234206,30.2862526,Nissan,other,Breezy and Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
2.59,4.941642422609304,3.07,9.716666666666667,12.0,16.745454545454546,0,1,1.0,0,45.276872964169385,2015,2015,0,11,11,14.0,0.75,154.0,14.0,55.17,6,6,30.2862445,30.3228185,other,other,Breezy and Mostly Cloudy,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
