Признак,Важность,Кумулятивная важность
distance_kms,0.16688746,0.16688746
vehicle_make,0.14993183,0.3168193
trip_type_uberx,0.10419352,0.42101282
trip_type_uberBLACK,0.06884571,0.48985854
trip_time_minutes,0.058372337,0.5482309
temp_hour_interaction,0.057960153,0.60619104
ride_hailing_app_Uber,0.05556922,0.6617603
temperature_time_month,0.049477767,0.711238
trip_type_uberELKA,0.038194824,0.74943286
vehicle_model,0.029193198,0.7786261
temperature_time_hour,0.025194721,0.8038208
speed_kmh,0.023384577,0.82720536
trip_start_time_timeofday_morning,0.020655971,0.84786135
temperature_value,0.019257287,0.86711866
trip_start_time_hour,0.018227663,0.8853463
cloudness,0.01746951,0.9028158
weather_desc,0.016138112,0.91895396
rub_usd_exchange_rate,0.014358501,0.9333125
trip_start_time_year,0.011706323,0.9450188
feels_like,0.0107620405,0.95578086
trip_type_uberX,0.010756556,0.9665374
total_time_minutes,0.010754891,0.9772923
dropoff_long,0.009171694,0.98646396
city_Moscow,0.0059784097,0.99244237
pickup_long,0.005422063,0.9978644
trip_type_uberSELECT,0.0021356437,1.0000001
weather_main_wind,0.0,1.0000001
weather_main_snow,0.0,1.0000001
weather_main_rain,0.0,1.0000001
trip_start_time_timeofday_evening,0.0,1.0000001
precipitation_rain,0.0,1.0000001
precipitation_snow,0.0,1.0000001
weather_main_partly-cloudy-day,0.0,1.0000001
trip_start_time_timeofday_night,0.0,1.0000001
temperature_time_timeofday_evening,0.0,1.0000001
temperature_time_timeofday_morning,0.0,1.0000001
weather_main_partly-cloudy-night,0.0,1.0000001
trip_type_Comfort,0.0,1.0000001
weather_main_fog,0.0,1.0000001
weather_main_cloudy,0.0,1.0000001
weather_main_clear-night,0.0,1.0000001
city_Saint Petersburg,0.0,1.0000001
trip_type_uberBEAUTY,0.0,1.0000001
trip_type_EconomyFix,0.0,1.0000001
trip_start_time_month,0.0,1.0000001
weather_partly_cloudy_night,0.0,1.0000001
trip_type_uberelka,0.0,1.0000001
surge_multiplier,0.0,1.0000001
trip_type_uberblack,0.0,1.0000001
temperature_time_timeofday_night,0.0,1.0000001
